video_name,num_frames_video,num_frames_annotation,difference
420,3150,2987,163
409,3608,1366,2242
344,4263,2598,1665
75-30-960x720,1953,198,1755
video47,820,821,-1
388,4158,1746,2412
418,2906,1579,1327
78-30-960x720,4442,2492,1950
46-30-484x360,2944,1841,1103
117-25-1920x1080,4081,3362,719
28-30-1280x720-4,276,261,15
9-15-1920x1080,47434,33917,13517
22-30-1920x1080,5335,162,5173
359,3861,2835,1026
376,3569,2976,593
440,2520,984,1536
386,1751,813,938
327,4156,1473,2683
1-30-1280x720,10355,7172,3183
361,4602,2039,2563
98-30-360x360,6645,663,5982
87-25-1920x1080,1802,1779,23
329,5086,3401,1685
103-30-384x480,771,467,304
97-29-1920x1080,3366,53,3313
330,4568,2612,1956
450,9907,9738,169
382,2713,1185,1528
393,4916,3832,1084
video45_5,414,415,-1
51-30-1280x720,2499,257,2242
103,26617,13869,12748
427,1222,890,332
377,3444,1662,1782
105,10076,5068,5008
426,2779,1093,1686
122-60-1920x1080-1,7862,5145,2717
34-25-1920x1080,7757,7758,-1
59-30-1280x720,7741,4475,3266
132-30-426x240,992,916,76
349,4054,2214,1840
66-25-1080x1920,2913,220,2693
102,4777,3043,1734
38-30-1920x1080,2431,1926,505
407,3817,650,3167
video24,5204,4080,1124
54-30-1080x1920,6445,2412,4033
107-30-640x480,73,54,19
88-30-360x480,3722,1825,1897
12-24-1920x1080,5685,5235,450
26-60-1280x720,2065,323,1742
225,1462,1290,172
429,1673,1349,324
video45_3,294,286,8
334,3398,1676,1722
415,2903,1206,1697
380,2375,1208,1167
106-30-720x1280,1404,1396,8
50-30-1920x1080,2699,151,2548
367,4169,2349,1820
18-24-1920x1080,4830,4710,120
61-24-1920x1080,9156,1795,7361
384,3451,2033,1418
112,5915,1925,3990
374,1212,1191,21
358,324,134,190
433,4310,2763,1547
5-60-1920x1080-4,4892,859,4033
331,2954,1977,977
36-24-1280x720,5260,2974,2286
416,6511,4423,2088
402,4422,1462,2960
355,1631,1120,511
video3,7801,2973,4828
328,2714,1620,1094
354,5389,3977,1412
111,7246,6158,1088
114,2449,335,2114
115-30-1280x720,4081,1737,2344
23-24-1920x1080,5411,446,4965
video2,2064,539,1525
5-60-1920x1080-2,6213,2149,4064
371,680,461,219
video94,696,696,0
341,3096,1695,1401
428,3229,2519,710
85-24-1280x720,2664,2457,207
7-60-1920x1080,23148,14199,8949
133-30-1280x720,2403,2404,-1
347,2924,1906,1018
108,4678,4672,6
110-30-270x480,9978,5417,4561
video58,303,303,0
408,2978,1915,1063
112-30-640x360,6002,4900,1102
94-30-1920x1080,2101,309,1792
335,3278,3221,57
345,2344,2321,23
365,1067,738,329
39-25-424x240,4590,3793,797
332,4665,4266,399
353,2856,1004,1852
391,3583,1544,2039
387,2911,854,2057
99-30-720x720,1800,1457,343
19-24-1920x1080,6633,339,6294
406,3066,891,2175
138-30-1280x720,3331,3132,199
441,2701,1476,1225
89-30-1080x1920,630,194,436
369,4438,1408,3030
65-30-400x228,6667,3575,3092
57-25-426x240,300,301,-1
446,2248,821,1427
20-24-1920x1080,5274,1570,3704
video8,5367,915,4452
198,2284,1796,488
102-30-640x360,2983,266,2717
35-30-1920x1080,20807,9793,11014
116-30-1280x720,6183,3817,2366
95-24-1920x1080,2883,1133,1750
58-30-640x480,2876,2379,497
72-30-1280x720,7571,252,7319
video67,1849,1806,43
325,3222,1622,1600
106,8163,4970,3193
113,15020,4931,10089
107,5315,4819,496
421,3615,2883,732
64-24-640x360,4918,2683,2235
449,3552,1535,2017
423,5265,2639,2626
135-24-1920x1080,9423,7665,1758
403,2165,885,1280
video1,14587,3811,10776
86-24-1920x1080,4995,2250,2745
video7,3377,1013,2364
373,2704,1312,1392
29-24-1280x720,3683,2258,1425
31-30-1920x1080,4722,117,4605
101-30-1080x1920,5153,3524,1629
69-25-854x480,18781,13817,4964
348,4444,4139,305
17-24-1920x1080,5787,4313,1474
346,5693,5202,491
video48,2542,2296,246
62-30-654x480,12033,5504,6529
10-60-1280x720,2501,1191,1310
67-24-640x360,3461,770,2691
46-30-484x360,2944,2664,280
398,3269,2016,1253
389,4556,1376,3180
110,5504,1926,3578
5-60-1920x1080-1,6153,1356,4797
video66,154,13,141
412,1473,1169,304
394,2335,1385,950
video45_6,308,309,-1
5-60-1920x1080-3,6333,2009,4324
21-24-1920x1080,5230,5076,154
435,1950,1061,889
430,1834,1304,530
37-30-1280x720,2706,404,2302
